"src","trg","Label","explanation"
"""mengkonsumsi bahan bakar minyak (BBM)""","""mengonsumsi bahan bakar minyak (BBM)""","Morfologi (Afiksasi)","Fonem /k/ harus diluluhkan sesuai kaidah KBBI, sehingga kata yang benar adalah ""mengonsumsi""."
"""beberapa bangunan-bangunan liar berupa vila-vila dan atau rumah-rumah didirikan oleh di luar masyarakat asli Bojong Koneng.""","""Beberapa bangunan liar berupa vila atau rumah didirikan oleh pihak di luar masyarakat asli Bojong Koneng.""","Semantik (Pleonasme, Makna Ambigu), Morfologi (Reduplikasi), Sintaksis (Kata Hubung, Kesalahan Frasa)","Terjadi pleonasme (pengulangan makna) pada kata ""beberapa bangunan-bangunan"", cukup ditulis ""beberapa bangunan"".""Vila-vila"" dan ""rumah-rumah"" cukup ditulis ""vila"" dan ""rumah"" karena tidak perlu pengulangan kata untuk menunjukkan jamak. ""dan atau"" lebih baik diganti dengan ""atau"" untuk kejelasan makna. Frasa ""didirikan oleh di luar masyarakat asli Bojong Koneng"" rancu. Harusnya ""didirikan oleh pihak di luar masyarakat asli Bojong Koneng"" agar lebih jelas siapa yang mendirikan."
"""Lebih lanjut, Aziz mengatakan, jenazah korban masih dalam proses autopsi di rumah sakit untuk mendapat keterangan lebih lanjut perihal penyebab peristiwa naas itu.""","""Lebih lanjut, Aziz mengatakan bahwa jenazah korban masih dalam proses autopsi di rumah sakit untuk mendapat keterangan lebih lanjut perihal penyebab peristiwa nahas itu.""","Fonologi (Penghilangan Fonem)","Terdapat penghilangan fonem /h/ pada kata ""nahas"" menjadi ""naas"". Kata ""naas"" tidak baku, seharusnya menggunakan kata ""nahas"" sesuai KBBI."
"""Dari hasil penyelidikan terungkap bahwa Zainal Zaizal tercatat sebagai Zainal Zaizal yang bertugas di Balai Penyuluhan Pertanian di Desa Buniwangi ...""","""Dari hasil penyelidikan terungkap bahwa Zainal Zaizal tercatat sebagai Pegawai Negeri Sipil (PNS) yang bertugas di Balai Penyuluhan Pertanian di Desa Buniwangi ...""","Sintaksis (Struktur Kalimat), Semantik (Pleonasme)","Kalimat tidak jelas karena subjek tidak dituliskan secara spesifik. Perlu penyusunan ulang untuk menunjukkan logika yang benar."
"""Thanos, Hacker China yang Diduga Bobol BIN dan Kementerian RI""","""Thanos, Hacker China yang Diduga Bobol BIN dan Kementerian RI""","Fonologi (Penggunaan Huruf)","Kata hacker berasal dari bahasa asing dan harus dicetak miring, atau gunakan padanan bahasa Indonesia ""peretas""."
"""Dilansir dari Independent, Senin (20/9/2021), kedua pasangan ini dibesarkan di Blue Point di Long Island di New York.""","""Dilansir dari Independent, Senin (20/9/2021), kedua pasangan ini dibesarkan di Blue Point, Long Island, New York.""","Semantik (Pleonasme), Sintaksis (Kata Depan)","Terjadi pleonasme pada penggunaan kata depan ""di"" yang diulang tiga kali, perlu penyusunan ulang agar lebih ringkas dan efektif."
"""Karena saya dari pertaa menjadi PNS saya bekerja tidak jauh-jauh dari pekerjaan surat-menyurat.""","""Sejak diangkat menjadi PNS, tugas saya berkaitan dengan urusan surat-menyurat.""","Semantik (Pleonasme), Sintaksis (Struktur Kalimat)","Kalimat terlalu panjang dan redundan dengan pengulangan kata ""saya"". Perlu disusun ulang agar lebih efektif dan koheren."
"""Kasubag. Umum dan kepegawaian karena saya dari pertaa menjadi PNS ...""","""Kasubag umum dan kepegawaian karena sejak diangkat menjadi PNS, ...""","Fonologi (Penggunaan Huruf)","Penggunaan huruf kapital pada kata ""Kasubag"" tidak sesuai konteks karena bukan nama jabatan yang spesifik."
"""disini bukan hanya rehab saja, tapi juga pembangunan Ruang Kelas baru, Perpustakaan, WC/toilet ...""","""Di sini bukan hanya rehabilitasi saja, tetapi juga pembangunan ruang kelas baru, perpustakaan, WC/toilet ...""","Morfologi (Penulisan Kata), Sintaksis (Kata Depan)","Kesalahan pada penggunaan ""disini"" seharusnya ""di sini"". Selain itu, penggunaan kata ""rehab"" sebaiknya diganti dengan kata baku ""rehabilitasi""."
"""Hal tersebut sesuai dengan Tugas dan fungsi yang sekarang kami menjadi kontrak kerja kami.""","""Hal tersebut sesuai dengan tugas dan fungsi yang sekarang menjadi bagian dari kontrak kerja kami.""","Fonologi (Penggunaan Huruf)","Kesalahan kapitalisasi pada kata ""Tugas"". Kata ini tidak memerlukan huruf kapital kecuali di awal kalimat."
"""Karena latar belakang pendidika saya teknik sipil dan itu optimis saya mampu untuk hal yang berkaitan dengan infrastruktur.""","""Karena latar belakang pendidikan saya adalah teknik sipil, saya optimis mampu menangani hal yang berkaitan dengan infrastruktur.""","Sintaksis (Struktur Kalimat), Morfologi (Penulisan Kata) ","Kalimat kehilangan induk kalimat sehingga tidak padu. Kata ""optimis"" seharusnya diikuti dengan keterangan tambahan agar lebih jelas dan koheren."
"""Kami ditempatkan pada sub bidang diklat yang mempunyai tugas membantu kelancaran pada kegiatan diklat utamanya adalah pada diklat struktural.""","""Kami ditempatkan pada sub bidang diklat dengan tugas utama membantu kelancaran kegiatan diklat struktural.""","Sintaksis (Struktur Kalimat, Kata Depan), Semantik (Pleonasme)","Penggunaan kata ""utamanya adalah pada"" tidak efektif dan redundan, sebaiknya diganti dengan struktur yang lebih ringkas."
"""Kegiatan untuk meningkatkan prasarana pendidikan, yaitu dengan cara melakukan pendataan dan survey ke sekolah yang bangunannya sudah rusak ...""","""Kegiatan untuk meningkatkan prasarana pendidikan dilakukan melalui pendataan dan survei ke sekolah yang bangunannya rusak ...""","Morfologi (Penulisan Kata), Sintaksis (Struktur Kalimat)","Kata ""survey"" harus ditulis sebagai ""survei"" sesuai KBBI. Selain itu, kalimat panjang perlu dipotong menjadi beberapa kalimat agar lebih mudah dipahami."
"""disebabkan oleh sebab tumpang tindihnya peraturan dengan dinas sosial ...""","""Disebabkan oleh tumpang tindih peraturan dengan dinas sosial ...""","Semantik (Pleonasme)","Penggunaan kata ""oleh sebab"" tidak efektif karena redundan, cukup digunakan ""disebabkan oleh""."
"""dan juga pembangunan Ruang Kelas baru, Perpustakaan, WC/toilet, pagar keliling, dan juga pavingisasi ...""","""... serta pembangunan ruang kelas baru, perpustakaan, WC/toilet, pagar keliling, dan pavingisasi ...""","Semantik (Pleonasme), Fonologi (Penggunaan Huruf)","Penggunaan ""dan juga"" berulang-ulang perlu dihindari untuk menjaga efisiensi kalimat."
"""Dan menata lebih baik lagi masalah kepegawaian agar lebih mudah cara penangannya.""","""Menata masalah kepegawaian agar lebih mudah ditangani.""","Sintaksis (Kata Hubung, Kesalahan Frasa)","Kalimat tidak efektif karena diawali dengan konjungsi ""Dan"". Selain itu, frasa ""lebih mudah cara penangannya"" perlu disederhanakan untuk menghindari struktur yang rumit."
"Liburan ke Dubai Tak Perlu PCR Lagi","Berlibur ke Dubai Tak Perlu PCR Lagi","Morfologi (Afiksasi)","Kesalahan sufiks {-an} yang seharusnya menggunakan prefiks {ber-} untuk menunjukkan aktivitas pergi bersenang-senang, bukan sekadar masa libur."
"WABAH SERANG SAPI LOKAL RI HINGGA LOCKDOWN","Wabah Menyerang Sapi Lokal, RI Terpaksa Lockdown","Fonologi (Penggunaan Huruf), Semantik (Makna Ambigu)","Kata ""Serang"" bisa diartikan sebagai kata kerja aktif (wabah yang menyerang) atau sebagai nama tempat (Serang, Banten), hal ini dapat menyebabkan ambiguitas. Kata ""Lockdown"" tidak jelas apakah terjadi pada sapi, wilayah tertentu, atau akibat dari wabah."
"Penggemar NCT Dream Serbu Allo Bank Festival","Penggemar NCT Dream Padati Allo Bank Festival","Semantik (Diksi)","Kata ""Serbu"" terlalu informal dan bisa memiliki makna negatif (misalnya kerumunan yang tidak terkendali). Bisa diganti dengan kata yang lebih netral seperti ""memadati"" atau ""meramaikan."""
"Aksi Seru NCT Dream Guncang Allo Bank Festival 2022","Aksi Seru NCT Dream Mengguncangkan Allo Bank Festival","Morfologi (Afiksasi)","Penggunaan kata dasar ""guncang"" bisa dibubuhi konfiks {meng-kan} untuk menunjukkan aksi menggoyangkan sesuatu dengan kuat."
"India Pangkas Ekspor Gula, Indonesia Perlu Panik Nggak?","India Pangkas Ekspor Gula, Haruskah Indonesia Khawatir?","Sintaksis (Struktur Kalimat)","Penggunaan kata ""Nggak"" kurang formal untuk berita. Bisa diganti dengan frasa yang lebih profesional, seperti ""Haruskah Indonesia Khawatir?"" atau ""Dampaknya bagi Indonesia?"""
"Janji China: Tidak akan Bangun Pangkalan Militer","Janji Cina: Tidak akan Bangun Pangkalan Militer","Fonologi (Penambahan Fonem)","Terdapat penambahan fonem /h/ pada ""Cina"" menjadi ""Cina"". Kata yang tepat sesuai standar baku bahasa Indonesia adalah ""Cina""."
"RUSIA MINGGIR! GILIRAN CHINA NGAMUK KE AS","Setelah Rusia, Cina Kini Tegur Keras AS","Sintaksis (Kesalahan Frasa), Semantik (Diksi), Fonologi (Penambahan Fonem)","Judul ini menggunakan gaya bahasa yang provokatif dan tidak sesuai dengan kaidah jurnalistik yang objektif. Frasa ""RUSIA MINGGIR!"" terlalu emosional dan tidak memberikan konteks yang jelas. Kata ""ngamuk"" bersifat informal dan subjektif, kurang sesuai untuk berita serius. Terdapat penambahan fonem /h/ pada ""Cina"" menjadi ""Cina"". Kata yang tepat sesuai standar baku bahasa Indonesia adalah ""Cina""."
"Alert! China Mau Gelar Latihan Militer di Laut China","Perhatian! China Akan Gelar Latihan Militer di Laut Cina ","Fonologi (Penambahan Fonem), Morfologi (Penulisan Kata)","Kata ""Alert!"" dalam bahasa Inggris berarti ""peringatan"" atau ""waspada"", tetapi dalam konteks berita formal, lebih baik diganti dengan kata dalam bahasa Indonesia seperti ""Waspada!"" atau ""Perhatian!"". ""Mau"" terdengar kurang formal. Sebaiknya diganti dengan ""Akan"" atau ""Bersiap untuk"" agar lebih profesional. Terdapat penambahan fonem /h/ pada ""Cina"" menjadi ""Cina"". Kata yang tepat sesuai standar baku bahasa Indonesia adalah ""Cina""."
"Sri Mulyani Pangkas Anggaran Menteri, Was-was Subsidi","Sri Mulyani Pangkas Anggaran Para Menteri, Nasib Subsidi Dipertanyakan","Sintaksis (Kesalahan Frasa)","Frasa ""Sri Mulyani Pangkas Anggaran Menteri"" sudah jelas, tetapi lebih baik jika ditambahkan ""para"" sebelum ""menteri"" agar menunjukkan bahwa pemangkasan berlaku untuk lebih dari satu menteri. Frasa ""Was-was Subsidi"" kurang jelas. "
"5 Faktor yang Mempengaruhi Harga BBM Naik Turun","5 Faktor yang Memengaruhi Harga BBM Naik Turun","Morfologi (Afiksasi)","Kata ""mempengaruhi"" salah karena peluluhan fonem /p/ tidak dilakukan. Kata yang benar adalah ""memengaruhi"" dengan konfiks {mem-i}."
"""Saya ingin beliin makanan untuk teman-teman saya di kantin sekolah.""","""Saya ingin membeli makanan untuk teman-teman saya di kantin sekolah.""","Morfologi (Afiksasi)","Kesalahan afiksasi, penggunaan akhiran ""-in"" yang tidak ada dalam bahasa Indonesia."
"Di kantin sekolahku banyak jenis-jenis makanan yang dijual.","Di kantin sekolahku banyak jenis makanan yang dijual.","Morfologi (Reduplikasi), Semantik (Pleonasme)","Kesalahan pleonasme, penggunaan penjamakan ganda yang tidak perlu."
"Sekeliling tugu lilin terdapat pohon besar yang ada di kanan dan patung kura-kura di sebelah kiri.","Di sekeliling Tugu Lilin terdapat pohon besar di sebelah kanan dan patung kura-kura di sebelah kiri.","Sintaksis (Kata Depan), Semantik (Pleonasme)","Tidak ada preposisi di awal klausa, mengubah makna kalimat. Pohon ""di kanan"", sementara patung kura-kura ""di sebelah kiri"" menunjukkan ketidakkonsistenan preposisi. Kata ""ada di"" tidak diperlukan karena dapat digantikan dengan ""di sebelah kanan"" untuk kejelasan."
"Tempat keramaian dan tempat untuk menjual dan pembeli dengan suasana yang ramai.","Kantin adalah tempat membeli aneka makanan, baik makanan ringan maupun makanan berat.","Sintaksis (Struktur Kalimat, Kelengkapan Kalimat), Semantik (Makna Ambigu)","Kalimat tidak logis, subjek tidak jelas, sehingga makna menjadi rancu."
"Para guru-guru dan siswa-siswa sering berkumpul di taman sekolah.","Para guru dan siswa sering berkumpul di taman sekolah.","Morfologi (Reduplikasi), Semantik (Pleonasme)","Pleonasme, penggunaan unsur jamak yang berlebihan."
"Taman tugu lilin terdapat pohon besar di sebelah kanan dan patung kura-kura yg berada di sebelah kirinya. Banyak siswa duduk di sana untuk beristirahat.","Di Taman Tugu Lilin, terdapat pohon besar di sebelah kanan dan patung kura-kura di sebelah kirinya. Banyak siswa duduk di taman tersebut untuk beristirahat.","Sintaksis (Struktur Kalimat, Kesalahan Frasa), Fonologi (Penggunaan Huruf)","Frasa ""Taman tugu lilin terdapat..."" kurang tepat karena subjek dan predikat tidak sesuai. Kata ""kirinya"" kurang jelas mengacu pada siapa atau apa. Seharusnya disesuaikan agar lebih spesifik. Kata ""di sana"" bisa lebih spesifik dengan menyebut lokasi secara langsung agar tidak ambigu. ""Tugu Lilin"" adalah nama tempat, gunakan huruf kapital pada setiap kata utama."
"Monument tugu lilin di pusat kota menarik banyak wisatawan.","Monumen Tugu Lilin di pusat kota menarik banyak wisatawan.","Fonologi (Penggunaan Huruf)","Terdapat penambahan fonem /t/ pada kata ""monumen"" menjadi ""monument"". Kata yang baku adalah ""monumen"". ""Tugu Lilin"" adalah nama tempat, gunakan huruf kapital pada setiap kata utama."
"Keindahan Tugu dapat dilihat dari malam hari karena lampu lampion tugu memberikan cahaya warna-warni yang indah.","Keindahan Tugu dapat dilihat pada malam hari karena lampion tugu memberikan cahaya warna-warni yang indah.","Sintaksis (Kesalahan Frasa)","Frasa ""dari malam hari"" tidak tepat, yang lebih sesuai adalah ""pada malam hari"" karena menunjukkan waktu kejadian. Kata ""lampu lampion tugu"" kurang efektif karena ada dua kata dengan makna yang mirip, bisa disederhanakan. "
"""Dia memberikan praktek terbaiknya kepada pasien setiap hari.""","""Dia memberikan praktik terbaiknya kepada pasien setiap hari.""","Fonologi (Perubahan Fonem)","Penggunaan kata ""praktek"" yang tidak sesuai dengan kaidah bahasa Indonesia. Kata yang benar adalah ""praktik"" sesuai dengan aturan fonologi dalam KBBI."
"Dia katakan bahwa keberhasilan datang dengan usaha.""","""Dia mengatakan bahwa keberhasilan datang dengan usaha.""","Morfologi (Afiksasi)","Kurangnya imbuhan ""meng-"" pada kata kerja ""katakan"". Kata tersebut perlu ditulis dengan imbuhan lengkap untuk membentuk kata kerja yang benar secara morfologi."
"""Produk-produknya hanya diminati oleh para pelanggan-pelanggan tetap.""","""Produk-produknya hanya diminati oleh para pelanggan tetap.""","Morfologi (Pluralisasi), Semantik (Pleonasme)","Penanda jamak ""para"" dan pengulangan kata ""pelanggan"" digunakan secara bersamaan, yang tidak perlu. Salah satu penanda cukup untuk menunjukkan bentuk jamak."
"""Raden Achmad Soebardjo adalah menteri luar negeri pertama Indonesia, Raden Achmad Soebardjo memiliki gelar meester in de rechten dari Belanda.""","""Raden Achmad Soebardjo adalah menteri luar negeri pertama Indonesia. Ia memiliki gelar meester in de rechten dari Belanda.""","SIntaksis (Struktur Kalimat), Semantik (Pleonasme), Fonologi (Penggunaan Huruf)","Redundansi dalam penyebutan nama tokoh secara berulang. Menggunakan kata ganti ""ia"" membuat kalimat lebih efektif dan ekonomis. Istilah asing ditulis menggunakan huruf miring."
"""Di rumah laksamana muda maeda para pejuang bertemu untuk berdiskusi.""","""Di rumah Laksamana Muda Maeda, para pejuang bertemu untuk berdiskusi.""","Fonologi (Penggunaan Huruf), Sintaksis (Kelengkapan Kalimat)","Kesalahan dalam penulisan huruf kapital pada nama tokoh. Menurut PUEBI, nama tokoh atau gelar harus diawali dengan huruf kapital. Tambahkan koma untuk memperjelas kalimat."
"""Di sana ada banyak kegiatan bisa memikuti.""","""Di sana ada banyak kegiatan yang bisa diikuti.""","Sintaksis (Struktur Kalimat), Morfologi (Afiksasi)","Frasa ""banyak kegiatan bisa memikuti"" tidak memiliki struktur yang jelas. Penggunaan afiksasi konfiks me-i tidak tepat. Seharusnya menggunakan konfiks di-i untuk kata kerja pasif."
"""Menampilkan atraksi militer dan komersial.""","""Penampilan atraksi militer dan komersial.""","Morfologi (Afiksasi)","Afiksasi ""menampilkan"" seharusnya menggunakan afiksasi pembentuk nomina, yaitu ""penampilan""."
"""Itu gunung adalah dibuat dari garam.""","""Gunung itu terbuat dari garam.""","Sintaksis (Struktur Kalimat), Morfologi (Penulisan Kata) ","""Itu gunung"" tidak sesuai dalam tata bahasa Indonesia. Seharusnya ""Gunung itu"" karena kata tunjuk (""itu"") dalam bahasa Indonesia umumnya diletakkan setelah kata benda. Kata kerja bantu ""adalah"" tidak diperlukan. Afiks ""ter-"" lebih tepat untuk menunjukkan proses alami."
"""Stroberi di sana adalah terbaik dan terkenal stroberi di Taiwan.""","""Stroberi di sana adalah stroberi terbaik dan paling terkenal di Taiwan.""","Sintaksis (Urutan Kata)","Penempatan subjek tidak sesuai. Kata ""stroberi"" harus diletakkan sebelum kata sifat ""terbaik""."
"""Di sana juga ada banyak budaya dan sejarah atau suku tentang Taiwan.""","""Di sana juga ada banyak budaya, sejarah, serta suku tentang Taiwan.""","Sintaksis (Kata Hubung)","Penggunaan konjungsi ""atau"" tidak tepat. Seharusnya menggunakan konjungsi ""serta"" untuk kata setara."
"""Taiwan Selatan memancarkan sejarah dan budaya yang kuat.""","""Taiwan Selatan memiliki sejarah dan budaya yang kuat.""","Semantik (Diksi)","Kata ""memancarkan"" tidak tepat karena artinya 'mengeluarkan sinar'. Kata ""memiliki"" lebih sesuai."
"""Di sana ada banyak kue tradisi dan kuno.""","""Di sana ada banyak kue tradisional.""","Morfologi (Penulisan Kata), Semantik (Pleonasme)","Penggunaan kata ""tradisi"" dan ""kuno"" berlebihan karena memiliki arti yang sama. Kata ""tradisi"" adalah nomina (kata benda), sedangkan yang lebih tepat untuk menjelaskan ""kue"" adalah ""tradisional"" (adjektiva/kata sifat)."
"""Wilayah Tengah mencakup 5 kabupaten dan kota.""","""Wilayah Tengah mencakup lima kabupaten/kota."" atau ""Wilayah Tengah mencakup lima daerah yang terdiri atas kabupaten dan kota.""","Sintaksis (Struktur Kalimat), Morfologi (Penulisan Kata) ","Angka ""5"" seharusnya ditulis menggunakan huruf jika tidak berurutan. Kalimat ""5 kabupaten dan kota"" dapat menimbulkan kebingungan: apakah yang dimaksud adalah 5 kabupaten + 1 kota atau total lima daerah (kabupaten dan kota secara keseluruhan)?"
"""Bangunan di sana juga special.""","""Bangunan di sana juga spesial.""","Fonologi (Perubahan Fonem)","Terdapat perubahan fonem /s/ menjadi /c/ pada kata ""spesial"" menjadi ""special'. Kata yang benar adalah ""spesial""."
"""Jiufen memiliki banyak tempat akomodasi kusus.""","""Jiufen memiliki banyak tempat akomodasi khusus.""","Fonologi (Penghilangan Fonem)","Terdapat penghilangan fonem /h/ pada kata ""khusus"" menjadi ""kusus'. Kata yang benar adalah ""khusus""."
"Bahasa Indonesia hanya digunakan pada situasi-situasi resmi saja.","Bahasa Indonesia sering digunakan pada berbagai situasi formal dan informal, seperti komunikasi sehari-hari dan acara resmi.","Semantik (Kesalahan Makna, Pleonasme)","Kesalahan ini mencerminkan penyederhanaan berlebihan; Bahasa Indonesia digunakan lebih luas daripada hanya dalam situasi resmi. Penggunaan ""hanya"" dan ""saja"" dalam satu kalimat membuatnya redundan (berlebihan)."
"""Kesalahan yang dilakukan terjadi pada semua unsur yang menjadi kaidah ejaan yang disempurnakan. Hasil penelitian juga menunjukkan bahwa seorang dosen belum dapat membedakan kapan di dan ke sebagai kata depan dan kapan sebagai awalan.""","""Kesalahan yang dilakukan terjadi pada semua unsur kaidah ejaan yang disempurnakan. Hasil penelitian juga menunjukkan bahwa seorang dosen belum dapat membedakan penggunaan kata depan 'di' dan 'ke' dengan penggunaannya sebagai awalan.""","Semantik (Makna Ambigu), Sintaksis (Struktur Kalimat)","Kesalahan dalam menyusun frasa menyebabkan makna ambigu. Koreksi ini juga memperbaiki ejaan sesuai EYD."
"""Aplikasi perangkat lunak koreksi kesalahan kata dalam karya tulis ilmiah berbahasa Indonesia yang telah dibuat dalam penelitian ini dapat melakukan koreksi terhadap kesalahan penggunaan Ejaan yang Disempurnakan (EyD) dalam sebuah dokumen karya tulis berbahasa Indonesia. Unsur-unsur EyD yang dapat dideteksi menggunakan aplikasi ini meliputi penggunaan kapitalisasi pada awal sebuah kalimat, penggunaan kapitalisasi pada nama Negara, penggunaan kapitalisasi pada kata yang berhubungan dengan kitab suci suatu agama, serta deteksi penggunaan kapitalisasi pada nama orang.""","""Aplikasi perangkat lunak koreksi kesalahan kata dalam karya tulis ilmiah berbahasa Indonesia yang telah dibuat dalam penelitian ini dapat melakukan koreksi terhadap kesalahan penggunaan Ejaan yang Disempurnakan (EYD) dalam sebuah dokumen karya tulis berbahasa Indonesia. Unsur-unsur EYD yang dapat dideteksi menggunakan aplikasi ini meliputi penggunaan kapitalisasi pada awal sebuah kalimat, penggunaan kapitalisasi pada nama negara, penggunaan kapitalisasi pada kata yang berhubungan dengan kitab suci suatu agama, serta deteksi penggunaan kapitalisasi pada nama orang.""","Fonologi (Penggunaan Huruf)","Kata ""Negara"" tidak perlu diawali huruf kapital kecuali merujuk pada nama resmi negara tertentu."
"""Aplikasi perangkat lunak koreksi kesalahan kata dalam karya tulis ilmiah berbahasa Indonesia yang telah dibuat dalam penelitian ini dapat melakukan koreksi terhadap kesalahan penggunaan kata-kata yang tidak sesuai dengan kamus bahasa Indonesia.""","""Aplikasi perangkat lunak koreksi kesalahan kata dalam karya tulis ilmiah berbahasa Indonesia yang telah dibuat dalam penelitian ini dapat melakukan koreksi terhadap kesalahan penggunaan kata-kata yang tidak sesuai dengan Kamus Besar Bahasa Indonesia.""","Sintaksis (Kelengkapan Kalimat)","Nama resmi kamus harus disebutkan lengkap untuk menghindari ketidakpastian sumber rujukan."
"Penelitian ini bertujuan untuk memberikan deskripsi tentang konsep dan dasar dalam melakukan analis kesalahan berbahasa serta implementasinya pada penelitian bahasa Arab.","Penelitian ini bertujuan untuk mendeskripsikan konsep dasar dan prinsip dalam analisis kesalahan berbahasa serta implementasinya dalam penelitian bahasa Arab.","Morfologi (Penulisan Kata), Sintaksis (Struktur Kalimat)","Kata ""analis"" merupakan kesalahan ejaan; seharusnya ""analisis"" sesuai dengan kaidah bahasa Indonesia. ""Konsep dan dasar dalam melakukan…"" kurang efektif, bisa disederhanakan menjadi ""konsep dasar dalam…"" untuk menghindari kata yang berulang."
"Kajian error analysis dengan ruang kajian yang lebih luas berupa “error analysis dalam berbahasa arab”, dengan sasaran berupa karya ilmiah akhir mahasiswa program studi bahasa sastra Arab.","Kajian analisis kesalahan dengan ruang kajian yang lebih luas berupa “analisis kesalahan dalam berbahasa Arab,” dengan sasaran berupa karya ilmiah akhir mahasiswa program studi Bahasa dan Sastra Arab.","Morfologi (Penulisan Kata), Fonologi (Penggunaan Huruf)","Penggunaan istilah asing ""error analysis"" tidak konsisten dengan konteks bahasa Indonesia yang digunakan di dalam teks."
"Fokus terhadap kesalahan dalam ranah sintaks dengan sasaran kajian berupa kitab Duru>s al-Lughah al-‘Arabiyyah ‘ala> T}ari>qah al-Muba>sharah al-Mutaka>milah karya Muhammad In’am.","Kajian ini berfokus pada kesalahan dalam ranah sintaksis dengan sasaran kajian berupa kitab Duru>s al-Lughah al-‘Arabiyyah ‘ala> T}ari>qah al-Muba>sharah al-Mutaka>milah karya Muhammad In’am.","Morfologi (Penulisan Kata), Fonologi (Penggunaan Huruf)","Istilah ""sintaks"" lebih tepat diubah menjadi ""sintaksis"" untuk konsistensi linguistik dalam kajian tata bahasa."
"Penelitian menunjukkan adanya kesalahan morfologi sebanyak 12, kesalahan tata bahasa sebanyak 29, serta kesalahan kata dan semantik sebanyak 24.","Penelitian menunjukkan adanya 12 kesalahan morfologi, 29 kesalahan tata bahasa, serta 24 kesalahan pada kata dan semantik.","Sintaksis (Struktur Kalimat)","Format angka sebaiknya diletakkan sebelum jenis kesalahan untuk konsistensi gaya penulisan dan keterbacaan yang lebih baik."
"Kesalahan berupa teks, dapat diinterpretasi dari penelitian Rizka A’yuna Fu’adiyah, yang bertujuan untuk mendeskripsikan standar buku pendidikan bahasa Arab.","Kesalahan pada teks dapat diinterpretasikan dari penelitian Rizka A’yuna Fu’adiyah yang bertujuan untuk mendeskripsikan standar buku pendidikan bahasa Arab.","Sintaksis (Struktur Kalimat, Tanda Baca)","Frasa ""kesalahan berupa teks"" sebaiknya diubah menjadi ""kesalahan pada teks"" agar lebih jelas dan sesuai dengan kaidah tata bahasa Indonesia. Tidak perlu koma setelah ""Kesalahan pada teks"", karena subjek dan predikat tidak boleh dipisahkan oleh koma dalam kalimat tunggal. Tidak perlu koma sebelum ""yang bertujuan"", karena klausa ini bersifat membatasi dan tidak terpisah dari inti kalimat."
"... sejak SD sampai universitas hamp[er] sepuluh tahun tetapi tidak ada upaya dalam perbaikan tata bahasa.","Sejak SD hingga universitas, selama hampir sepuluh tahun, tetapi tidak ada upaya untuk memperbaiki tata bahasa.","Fonologi (Perubahan Fonem), Sintaksis (Struktur Kalimat)","Huruf vokal ""e"" pada kata ""hamper"" salah; seharusnya menggunakan ""i"" sehingga menjadi ""hampir"" sesuai EYD dan KBBI. ""Sejak SD sampai universitas"" tidak memiliki subjek yang jelas. Menggunakan ""hingga"" karena lebih baku daripada ""sampai"". Menambahkan ""selama"" untuk memperjelas bahwa ""hampir sepuluh tahun"" adalah rentang waktu."
"Bahasa adalah salah satu alat komunikasiyang paling lengkap untuk menyampaikan ide.","Bahasa adalah salah satu alat komunikasi yang paling lengkap untuk menyampaikan ide.","Morfologi (Penulisan Kata)","Kata ""komunikasiyang"" seharusnya ditulis terpisah menjadi ""komunikasi yang"" sesuai kaidah penulisan kata dasar dalam EYD."
"Namun, di dunia kita tidak hanya ada satu atau dua bahasa, Oleh karena itu, setiap bahasa harus dihargai.","Namun, di dunia kita tidak hanya ada satu atau dua bahasa. Oleh karena itu, setiap bahasa harus dihargai.","Sintaksis (Struktur Kalimat, Tanda Baca)","Penggunaan tanda koma setelah ""bahasa"" salah karena seharusnya menggunakan tanda titik untuk memisahkan kalimat antarkata penghubung."
"... siswa mampu koneksi ilmu yang sudah dibelajar untuk aplikasi praktis.","Siswa mampu menghubungkan ilmu yang sudah dipelajari dengan penerapan dalam kehidupan sehari-hari.","Morfologi (Afiksasi), Sintaksis (Struktur Kalimat)","Kata ""dibelajar"" seharusnya ""dipelajari"", karena ""belajar"" adalah kata dasar yang tidak bisa diberi imbuhan ""di-"". Frasa ""mampu koneksi"" tidak sesuai struktur bahasa Indonesia. Kata ""koneksi"" bukan kata kerja, sehingga harus diperbaiki menjadi ""mampu menghubungkan"" atau ""mampu mengaitkan"". ""Aplikasi praktis"" kurang alami dalam konteks ini. Lebih baik menggunakan ""penerapan dalam kehidupan sehari-hari"" atau ""penggunaan praktis""."
"Proses mengajar hanya baca dalam buku dan siswa hanya hafalkan kosakata, tetapi tidak jelas.","Metode mengajar hanya dengan membaca buku, sementara siswa hanya menghafalkan kosakata, sehingga pemahaman mereka kurang jelas.","Morfologi (Afiksasi), Sintaksis (Struktur Kalimat), Semantik (Makna Ambigu)","Frasa ""Proses mengajar hanya baca dalam buku"" tidak memiliki struktur yang jelas. Kata ""baca"" dan ""hafalkan"" seharusnya menggunakan prefiks ""me-"" dan ""meng-"" untuk menjadi ""membaca"" dan ""menghafalkan"". Frasa ""tetapi tidak jelas"" tidak jelas apa yang dimaksud ""tidak jelas"". Apakah metodenya, hasil pembelajaran, atau pemahaman siswa? "
